Station_ID,Station Name,Date,Time,Parameter (units),Results,RDL
72,PINE001.1-4177,10/7/2002,16:45,Zinc T (ug/l),Present Below Quantification Limit,10
72,PINE001.1-4177,10/7/2002,16:45,Aluminum (ug/l),45.2,
72,PINE001.1-4177,10/7/2002,16:45,Orthophosphate (mg/l),Present Below Quantification Limit,0.01
73,PINE014.2-4177,10/9/2002,8:15,Specific Con (umho/cm),164.1,
73,PINE014.2-4177,10/9/2002,8:15,pH (None),7.5,
73,PINE014.2-4177,10/9/2002,8:15,Alkalinity (mg/l),36,
73,PINE014.2-4177,10/9/2002,8:15,TSS (mg/l),Present Below Quantification Limit,2
73,PINE014.2-4177,10/9/2002,8:15,Nitrogen TOT (mg/l),0.2,
73,PINE014.2-4177,10/9/2002,8:15,Ammonia-N T (mg/l),0.22,
73,PINE014.2-4177,10/9/2002,8:15,Nitrite-N T (mg/l),Present Below Quantification Limit,0.04
73,PINE014.2-4177,10/9/2002,8:15,Nitrate-N (mg/l),0.16,
73,PINE014.2-4177,10/9/2002,8:15,Phosphorus (mg/l),Present Below Quantification Limit,0.01
73,PINE014.2-4177,10/9/2002,8:15,T Org Carbon (mg/l),2,
73,PINE014.2-4177,10/9/2002,8:15,Hardness T (mg/l),61,
73,PINE014.2-4177,10/9/2002,8:15,Calcium T (mg/l),17.8,
73,PINE014.2-4177,10/9/2002,8:15,Magnesium (mg/l),3.9,
73,PINE014.2-4177,10/9/2002,8:15,Sodium (mg/l),6.04,
73,PINE014.2-4177,10/9/2002,8:15,Potassium T (mg/l),1.49,
73,PINE014.2-4177,10/9/2002,8:15,Chloride (mg/l),8,
73,PINE014.2-4177,10/9/2002,8:15,Sulfate (mg/l),29.9,
73,PINE014.2-4177,10/9/2002,8:15,Fluoride T (mg/l),Present Below Quantification Limit,0.2
73,PINE014.2-4177,10/9/2002,8:15,Copper T (ug/l),Present Below Quantification Limit,10
73,PINE014.2-4177,10/9/2002,8:15,Iron (ug/l),29,
73,PINE014.2-4177,10/9/2002,8:15,Lead T (ug/l),Present Below Quantification Limit,1
73,PINE014.2-4177,10/9/2002,8:15,Manganese (ug/l),11,
73,PINE014.2-4177,10/9/2002,8:15,Nickel T (ug/l),Present Below Quantification Limit,4
73,PINE014.2-4177,10/9/2002,8:15,Zinc T (ug/l),Present Below Quantification Limit,10
73,PINE014.2-4177,10/9/2002,8:15,Aluminum (ug/l),33.5,
73,PINE014.2-4177,10/9/2002,8:15,Orthophosphate (mg/l),Present Below Quantification Limit,0.01
74,PINE040.3-4177,10/8/2002,8:30,Specific Con (umho/cm),144.2,
74,PINE040.3-4177,10/8/2002,8:30,pH (None),7.9,
74,PINE040.3-4177,10/8/2002,8:30,Alkalinity (mg/l),44,
74,PINE040.3-4177,10/8/2002,8:30,TSS (mg/l),Present Below Quantification Limit,2
74,PINE040.3-4177,10/8/2002,8:30,Nitrogen TOT (mg/l),0.22,
74,PINE040.3-4177,10/8/2002,8:30,Ammonia-N T (mg/l),0.18,
74,PINE040.3-4177,10/8/2002,8:30,Nitrite-N T (mg/l),Present Below Quantification Limit,0.04
74,PINE040.3-4177,10/8/2002,8:30,Nitrate-N (mg/l),Present Below Quantification Limit,0.04
74,PINE040.3-4177,10/8/2002,8:30,Phosphorus (mg/l),0.017,
74,PINE040.3-4177,10/8/2002,8:30,T Org Carbon (mg/l),2.3,
74,PINE040.3-4177,10/8/2002,8:30,Hardness T (mg/l),53,
74,PINE040.3-4177,10/8/2002,8:30,Calcium T (mg/l),16.3,
74,PINE040.3-4177,10/8/2002,8:30,Magnesium (mg/l),3.02,
74,PINE040.3-4177,10/8/2002,8:30,Sodium (mg/l),7.8,
74,PINE040.3-4177,10/8/2002,8:30,Potassium T (mg/l),1.55,
74,PINE040.3-4177,10/8/2002,8:30,Chloride (mg/l),10.2,
74,PINE040.3-4177,10/8/2002,8:30,Sulfate (mg/l),9.99,
74,PINE040.3-4177,10/8/2002,8:30,Fluoride T (mg/l),Present Below Quantification Limit,0.2
74,PINE040.3-4177,10/8/2002,8:30,Copper T (ug/l),Present Below Quantification Limit,10
74,PINE040.3-4177,10/8/2002,8:30,Iron (ug/l),76,
74,PINE040.3-4177,10/8/2002,8:30,Lead T (ug/l),Present Below Quantification Limit,1
74,PINE040.3-4177,10/8/2002,8:30,Manganese (ug/l),11,
74,PINE040.3-4177,10/8/2002,8:30,Nickel T (ug/l),Present Below Quantification Limit,4
74,PINE040.3-4177,10/8/2002,8:30,Zinc T (ug/l),Present Below Quantification Limit,10
74,PINE040.3-4177,10/8/2002,8:30,Aluminum (ug/l),48.3,
74,PINE040.3-4177,10/8/2002,8:30,Orthophosphate (mg/l),0.011,
75,PINE057.5-4177,10/7/2002,14:30,Specific Con (umho/cm),110.8,
75,PINE057.5-4177,10/7/2002,14:30,pH (None),8.6,
75,PINE057.5-4177,10/7/2002,14:30,Alkalinity (mg/l),32,
75,PINE057.5-4177,10/7/2002,14:30,TSS (mg/l),Present Below Quantification Limit,2
75,PINE057.5-4177,10/7/2002,14:30,Nitrogen TOT (mg/l),0.26,
75,PINE057.5-4177,10/7/2002,14:30,Ammonia-N T (mg/l),0.18,
75,PINE057.5-4177,10/7/2002,14:30,Nitrite-N T (mg/l),Present Below Quantification Limit,0.04
75,PINE057.5-4177,10/7/2002,14:30,Nitrate-N (mg/l),0.04,
75,PINE057.5-4177,10/7/2002,14:30,Phosphorus (mg/l),0.013,
75,PINE057.5-4177,10/7/2002,14:30,T Org Carbon (mg/l),2.1,
75,PINE057.5-4177,10/7/2002,14:30,Hardness T (mg/l),41,
75,PINE057.5-4177,10/7/2002,14:30,Calcium T (mg/l),12,
75,PINE057.5-4177,10/7/2002,14:30,Magnesium (mg/l),2.72,
75,PINE057.5-4177,10/7/2002,14:30,Sodium (mg/l),5.36,
75,PINE057.5-4177,10/7/2002,14:30,Potassium T (mg/l),1.47,
75,PINE057.5-4177,10/7/2002,14:30,Chloride (mg/l),7.3,
75,PINE057.5-4177,10/7/2002,14:30,Sulfate (mg/l),8.75,
75,PINE057.5-4177,10/7/2002,14:30,Fluoride T (mg/l),Present Below Quantification Limit,0.2
75,PINE057.5-4177,10/7/2002,14:30,Copper T (ug/l),Present Below Quantification Limit,10
75,PINE057.5-4177,10/7/2002,14:30,Iron (ug/l),103,
75,PINE057.5-4177,10/7/2002,14:30,Lead T (ug/l),Present Below Quantification Limit,1
75,PINE057.5-4177,10/7/2002,14:30,Manganese (ug/l),13,
75,PINE057.5-4177,10/7/2002,14:30,Nickel T (ug/l),Present Below Quantification Limit,4
75,PINE057.5-4177,10/7/2002,14:30,Zinc T (ug/l),Present Below Quantification Limit,10
75,PINE057.5-4177,10/7/2002,14:30,Aluminum (ug/l),48.4,
75,PINE057.5-4177,10/7/2002,14:30,Orthophosphate (mg/l),Present Below Quantification Limit,0.01
229,BABB000.1-4177,10/8/2002,9:30,Specific Con (umho/cm),305,
229,BABB000.1-4177,10/8/2002,9:30,pH (None),7,
229,BABB000.1-4177,10/8/2002,9:30,Alkalinity (mg/l),13,
229,BABB000.1-4177,10/8/2002,9:30,TSS (mg/l),4,
229,BABB000.1-4177,10/8/2002,9:30,Nitrogen TOT (mg/l),0.25,
229,BABB000.1-4177,10/8/2002,9:30,Ammonia-N T (mg/l),0.19,
229,BABB000.1-4177,10/8/2002,9:30,Nitrite-N T (mg/l),Present Below Quantification Limit,0.04
229,BABB000.1-4177,10/8/2002,9:30,Nitrate-N (mg/l),0.19,
229,BABB000.1-4177,10/8/2002,9:30,Phosphorus (mg/l),Present Below Quantification Limit,0.01
229,BABB000.1-4177,10/8/2002,9:30,T Org Carbon (mg/l),0.9,
229,BABB000.1-4177,10/8/2002,9:30,Hardness T (mg/l),133,
229,BABB000.1-4177,10/8/2002,9:30,Calcium T (mg/l),35.1,
229,BABB000.1-4177,10/8/2002,9:30,Magnesium (mg/l),10.9,
229,BABB000.1-4177,10/8/2002,9:30,Sodium (mg/l),5.7,
229,BABB000.1-4177,10/8/2002,9:30,Potassium T (mg/l),1.54,
229,BABB000.1-4177,10/8/2002,9:30,Chloride (mg/l),7.2,
229,BABB000.1-4177,10/8/2002,9:30,Sulfate (mg/l),117,
229,BABB000.1-4177,10/8/2002,9:30,Fluoride T (mg/l),Present Below Quantification Limit,0.2
229,BABB000.1-4177,10/8/2002,9:30,Copper T (ug/l),Present Below Quantification Limit,10
229,BABB000.1-4177,10/8/2002,9:30,Iron (ug/l),22,
229,BABB000.1-4177,10/8/2002,9:30,Lead T (ug/l),Present Below Quantification Limit,1
229,BABB000.1-4177,10/8/2002,9:30,Manganese (ug/l),450,
229,BABB000.1-4177,10/8/2002,9:30,Nickel T (ug/l),22.623,
229,BABB000.1-4177,10/8/2002,9:30,Zinc T (ug/l),44.231,
229,BABB000.1-4177,10/8/2002,9:30,Aluminum (ug/l),33.746,
229,BABB000.1-4177,10/8/2002,9:30,Orthophosphate (mg/l),Present Below Quantification Limit,0.01
230,BABB007.2-4177,10/8/2002,12:45,Specific Con (umho/cm),110.1,
230,BABB007.2-4177,10/8/2002,12:45,pH (None),6.5,
230,BABB007.2-4177,10/8/2002,12:45,Alkalinity (mg/l),5.6,
230,BABB007.2-4177,10/8/2002,12:45,TSS (mg/l),2,
230,BABB007.2-4177,10/8/2002,12:45,Nitrogen TOT (mg/l),0.2,
230,BABB007.2-4177,10/8/2002,12:45,Ammonia-N T (mg/l),0.47,
230,BABB007.2-4177,10/8/2002,12:45,Nitrite-N T (mg/l),Present Below Quantification Limit,0.04
230,BABB007.2-4177,10/8/2002,12:45,Nitrate-N (mg/l),0.1,
230,BABB007.2-4177,10/8/2002,12:45,Phosphorus (mg/l),Present Below Quantification Limit,0.01
230,BABB007.2-4177,10/8/2002,12:45,T Org Carbon (mg/l),1.3,
230,BABB007.2-4177,10/8/2002,12:45,Hardness T (mg/l),42,
230,BABB007.2-4177,10/8/2002,12:45,Calcium T (mg/l),11.5,
230,BABB007.2-4177,10/8/2002,12:45,Magnesium (mg/l),3.26,
230,BABB007.2-4177,10/8/2002,12:45,Sodium (mg/l),2.48,
230,BABB007.2-4177,10/8/2002,12:45,Potassium T (mg/l),1.01,
230,BABB007.2-4177,10/8/2002,12:45,Chloride (mg/l),3,
230,BABB007.2-4177,10/8/2002,12:45,Sulfate (mg/l),36.1,
230,BABB007.2-4177,10/8/2002,12:45,Fluoride T (mg/l),Present Below Quantification Limit,0.2
230,BABB007.2-4177,10/8/2002,12:45,Copper T (ug/l),Present Below Quantification Limit,10
230,BABB007.2-4177,10/8/2002,12:45,Iron (ug/l),73,
230,BABB007.2-4177,10/8/2002,12:45,Lead T (ug/l),Present Below Quantification Limit,1
230,BABB007.2-4177,10/8/2002,12:45,Manganese (ug/l),75,
230,BABB007.2-4177,10/8/2002,12:45,Nickel T (ug/l),Present Below Quantification Limit,4
230,BABB007.2-4177,10/8/2002,12:45,Zinc T (ug/l),17.432,
230,BABB007.2-4177,10/8/2002,12:45,Aluminum (ug/l),21.631,
230,BABB007.2-4177,10/8/2002,12:45,Orthophosphate (mg/l),Present Below Quantification Limit,0.01
92,LPIN000.2-4177,10/9/2002,10:30,Specific Con (umho/cm),148.5,
92,LPIN000.2-4177,10/9/2002,10:30,pH (None),7.4,
92,LPIN000.2-4177,10/9/2002,10:30,Alkalinity (mg/l),24,
92,LPIN000.2-4177,10/9/2002,10:30,TSS (mg/l),4,
92,LPIN000.2-4177,10/9/2002,10:30,Nitrogen TOT (mg/l),0.37,
92,LPIN000.2-4177,10/9/2002,10:30,Ammonia-N T (mg/l),0.29,
92,LPIN000.2-4177,10/9/2002,10:30,Nitrite-N T (mg/l),Present Below Quantification Limit,0.04
92,LPIN000.2-4177,10/9/2002,10:30,Nitrate-N (mg/l),0.18,
92,LPIN000.2-4177,10/9/2002,10:30,Phosphorus (mg/l),Present Below Quantification Limit,0.01
92,LPIN000.2-4177,10/9/2002,10:30,T Org Carbon (mg/l),1.9,
92,LPIN000.2-4177,10/9/2002,10:30,Hardness T (mg/l),54,
92,LPIN000.2-4177,10/9/2002,10:30,Calcium T (mg/l),14.7,
92,LPIN000.2-4177,10/9/2002,10:30,Magnesium (mg/l),4.13,
92,LPIN000.2-4177,10/9/2002,10:30,Sodium (mg/l),5.13,
92,LPIN000.2-4177,10/9/2002,10:30,Potassium T (mg/l),1.39,
92,LPIN000.2-4177,10/9/2002,10:30,Chloride (mg/l),7.8,
92,LPIN000.2-4177,10/9/2002,10:30,Sulfate (mg/l),31.7,
92,LPIN000.2-4177,10/9/2002,10:30,Fluoride T (mg/l),Present Below Quantification Limit,0.2
92,LPIN000.2-4177,10/9/2002,10:30,Copper T (ug/l),Present Below Quantification Limit,10
92,LPIN000.2-4177,10/9/2002,10:30,Iron (ug/l),65,
92,LPIN000.2-4177,10/9/2002,10:30,Lead T (ug/l),Present Below Quantification Limit,1
92,LPIN000.2-4177,10/9/2002,10:30,Manganese (ug/l),11,
92,LPIN000.2-4177,10/9/2002,10:30,Nickel T (ug/l),Present Below Quantification Limit,4
92,LPIN000.2-4177,10/9/2002,10:30,Zinc T (ug/l),Present Below Quantification Limit,10
92,LPIN000.2-4177,10/9/2002,10:30,Aluminum (ug/l),16.3,
92,LPIN000.2-4177,10/9/2002,10:30,Orthophosphate (mg/l),Present Below Quantification Limit,0.01
93,LPIN011.5-4177,10/8/2002,15:30,Specific Con (umho/cm),110.1,
93,LPIN011.5-4177,10/8/2002,15:30,pH (None),7.5,
93,LPIN011.5-4177,10/8/2002,15:30,Alkalinity (mg/l),26,
93,LPIN011.5-4177,10/8/2002,15:30,TSS (mg/l),4,
93,LPIN011.5-4177,10/8/2002,15:30,Nitrogen TOT (mg/l),0.27,
93,LPIN011.5-4177,10/8/2002,15:30,Ammonia-N T (mg/l),0.14,
93,LPIN011.5-4177,10/8/2002,15:30,Nitrite-N T (mg/l),Present Below Quantification Limit,0.04
93,LPIN011.5-4177,10/8/2002,15:30,Nitrate-N (mg/l),0.07,
93,LPIN011.5-4177,10/8/2002,15:30,Phosphorus (mg/l),Present Below Quantification Limit,0.01
93,LPIN011.5-4177,10/8/2002,15:30,T Org Carbon (mg/l),1.2,
93,LPIN011.5-4177,10/8/2002,15:30,Hardness T (mg/l),35,
93,LPIN011.5-4177,10/8/2002,15:30,Calcium T (mg/l),11.1,
93,LPIN011.5-4177,10/8/2002,15:30,Magnesium (mg/l),1.85,
93,LPIN011.5-4177,10/8/2002,15:30,Sodium (mg/l),5.5,
93,LPIN011.5-4177,10/8/2002,15:30,Potassium T (mg/l),1.17,
93,LPIN011.5-4177,10/8/2002,15:30,Chloride (mg/l),10.1,
93,LPIN011.5-4177,10/8/2002,15:30,Sulfate (mg/l),10.7,
93,LPIN011.5-4177,10/8/2002,15:30,Fluoride T (mg/l),Present Below Quantification Limit,0.2
93,LPIN011.5-4177,10/8/2002,15:30,Copper T (ug/l),Present Below Quantification Limit,10
93,LPIN011.5-4177,10/8/2002,15:30,Iron (ug/l),Present Below Quantification Limit,20
93,LPIN011.5-4177,10/8/2002,15:30,Lead T (ug/l),Present Below Quantification Limit,1
93,LPIN011.5-4177,10/8/2002,15:30,Manganese (ug/l),Present Below Quantification Limit,10
93,LPIN011.5-4177,10/8/2002,15:30,Nickel T (ug/l),Present Below Quantification Limit,4
93,LPIN011.5-4177,10/8/2002,15:30,Zinc T (ug/l),Present Below Quantification Limit,10
93,LPIN011.5-4177,10/8/2002,15:30,Aluminum (ug/l),19.4,
93,LPIN011.5-4177,10/8/2002,15:30,Orthophosphate (mg/l),Present Below Quantification Limit,0.01
107,MRSH001.6-4177,10/7/2002,13:15,Specific Con (umho/cm),227,
107,MRSH001.6-4177,10/7/2002,13:15,pH (None),7.7,
107,MRSH001.6-4177,10/7/2002,13:15,Alkalinity (mg/l),62,
107,MRSH001.6-4177,10/7/2002,13:15,TSS (mg/l),8,
107,MRSH001.6-4177,10/7/2002,13:15,Nitrogen TOT (mg/l),2.12,
107,MRSH001.6-4177,10/7/2002,13:15,Ammonia-N T (mg/l),0.25,
107,MRSH001.6-4177,10/7/2002,13:15,Nitrite-N T (mg/l),0.02,
107,MRSH001.6-4177,10/7/2002,13:15,Nitrate-N (mg/l),1.74,
107,MRSH001.6-4177,10/7/2002,13:15,Phosphorus (mg/l),0.359,
107,MRSH001.6-4177,10/7/2002,13:15,T Org Carbon (mg/l),3.5,
107,MRSH001.6-4177,10/7/2002,13:15,Hardness T (mg/l),77,
107,MRSH001.6-4177,10/7/2002,13:15,Calcium T (mg/l),25.1,
107,MRSH001.6-4177,10/7/2002,13:15,Magnesium (mg/l),3.48,
107,MRSH001.6-4177,10/7/2002,13:15,Sodium (mg/l),16.4,
107,MRSH001.6-4177,10/7/2002,13:15,Potassium T (mg/l),2.72,
107,MRSH001.6-4177,10/7/2002,13:15,Chloride (mg/l),19.8,
107,MRSH001.6-4177,10/7/2002,13:15,Sulfate (mg/l),14.3,
107,MRSH001.6-4177,10/7/2002,13:15,Fluoride T (mg/l),0.31,
107,MRSH001.6-4177,10/7/2002,13:15,Copper T (ug/l),Present Below Quantification Limit,10
107,MRSH001.6-4177,10/7/2002,13:15,Iron (ug/l),491,
107,MRSH001.6-4177,10/7/2002,13:15,Lead T (ug/l),Present Below Quantification Limit,1
107,MRSH001.6-4177,10/7/2002,13:15,Manganese (ug/l),83,
107,MRSH001.6-4177,10/7/2002,13:15,Nickel T (ug/l),Present Below Quantification Limit,4
107,MRSH001.6-4177,10/7/2002,13:15,Zinc T (ug/l),Present Below Quantification Limit,10
107,MRSH001.6-4177,10/7/2002,13:15,Aluminum (ug/l),85.6,
107,MRSH001.6-4177,10/7/2002,13:15,Orthophosphate (mg/l),0.333,
272,WBPC003.5-4177,10/7/2002,11:15,Specific Con (umho/cm),73.7,
272,WBPC003.5-4177,10/7/2002,11:15,pH (None),7.3,
272,WBPC003.5-4177,10/7/2002,11:15,Alkalinity (mg/l),22,
272,WBPC003.5-4177,10/7/2002,11:15,TSS (mg/l),4,
272,WBPC003.5-4177,10/7/2002,11:15,Nitrogen TOT (mg/l),0.34,
272,WBPC003.5-4177,10/7/2002,11:15,Ammonia-N T (mg/l),0.24,
272,WBPC003.5-4177,10/7/2002,11:15,Nitrite-N T (mg/l),Present Below Quantification Limit,0.04
272,WBPC003.5-4177,10/7/2002,11:15,Nitrate-N (mg/l),0.36,
272,WBPC003.5-4177,10/7/2002,11:15,Phosphorus (mg/l),Present Below Quantification Limit,0.01
272,WBPC003.5-4177,10/7/2002,11:15,T Org Carbon (mg/l),1.3,
272,WBPC003.5-4177,10/7/2002,11:15,Hardness T (mg/l),28,
272,WBPC003.5-4177,10/7/2002,11:15,Calcium T (mg/l),7.98,
272,WBPC003.5-4177,10/7/2002,11:15,Magnesium (mg/l),2.02,
272,WBPC003.5-4177,10/7/2002,11:15,Sodium (mg/l),2.58,
272,WBPC003.5-4177,10/7/2002,11:15,Potassium T (mg/l),1.04,
272,WBPC003.5-4177,10/7/2002,11:15,Chloride (mg/l),3.2,
272,WBPC003.5-4177,10/7/2002,11:15,Sulfate (mg/l),8.01,
272,WBPC003.5-4177,10/7/2002,11:15,Fluoride T (mg/l),Present Below Quantification Limit,0.2
272,WBPC003.5-4177,10/7/2002,11:15,Copper T (ug/l),Present Below Quantification Limit,10
272,WBPC003.5-4177,10/7/2002,11:15,Iron (ug/l),113,
272,WBPC003.5-4177,10/7/2002,11:15,Lead T (ug/l),Present Below Quantification Limit,1
272,WBPC003.5-4177,10/7/2002,11:15,Manganese (ug/l),12,
272,WBPC003.5-4177,10/7/2002,11:15,Nickel T (ug/l),Present Below Quantification Limit,4
272,WBPC003.5-4177,10/7/2002,11:15,Zinc T (ug/l),Present Below Quantification Limit,10
272,WBPC003.5-4177,10/7/2002,11:15,Aluminum (ug/l),26.3,
272,WBPC003.5-4177,10/7/2002,11:15,Orthophosphate (mg/l),Present Below Quantification Limit,0.01
291,WILS000.5-4177,10/8/2002,12:00,Specific Con (umho/cm),764,
291,WILS000.5-4177,10/8/2002,12:00,pH (None),7.3,
291,WILS000.5-4177,10/8/2002,12:00,Alkalinity (mg/l),38,
291,WILS000.5-4177,10/8/2002,12:00,TSS (mg/l),60,
291,WILS000.5-4177,10/8/2002,12:00,Nitrogen TOT (mg/l),0.43,
291,WILS000.5-4177,10/8/2002,12:00,Ammonia-N T (mg/l),0.3,
291,WILS000.5-4177,10/8/2002,12:00,Nitrite-N T (mg/l),Present Below Quantification Limit,0.04
291,WILS000.5-4177,10/8/2002,12:00,Nitrate-N (mg/l),0.22,
291,WILS000.5-4177,10/8/2002,12:00,Phosphorus (mg/l),Present Below Quantification Limit,0.01
291,WILS000.5-4177,10/8/2002,12:00,T Org Carbon (mg/l),1.3,
291,WILS000.5-4177,10/8/2002,12:00,Hardness T (mg/l),413,
291,WILS000.5-4177,10/8/2002,12:00,Calcium T (mg/l),117,
291,WILS000.5-4177,10/8/2002,12:00,Magnesium (mg/l),29.2,
291,WILS000.5-4177,10/8/2002,12:00,Sodium (mg/l),6.23,
291,WILS000.5-4177,10/8/2002,12:00,Potassium T (mg/l),2.2,
291,WILS000.5-4177,10/8/2002,12:00,Chloride (mg/l),6.8,
291,WILS000.5-4177,10/8/2002,12:00,Sulfate (mg/l),398,
291,WILS000.5-4177,10/8/2002,12:00,Fluoride T (mg/l),Present Below Quantification Limit,0.2
291,WILS000.5-4177,10/8/2002,12:00,Copper T (ug/l),20.319,
291,WILS000.5-4177,10/8/2002,12:00,Iron (ug/l),3790,
291,WILS000.5-4177,10/8/2002,12:00,Lead T (ug/l),1.154,
291,WILS000.5-4177,10/8/2002,12:00,Manganese (ug/l),5500,
291,WILS000.5-4177,10/8/2002,12:00,Nickel T (ug/l),168.011,
291,WILS000.5-4177,10/8/2002,12:00,Zinc T (ug/l),323.52,
291,WILS000.5-4177,10/8/2002,12:00,Aluminum (ug/l),5858,
291,WILS000.5-4177,10/8/2002,12:00,Orthophosphate (mg/l),Present Below Quantification Limit,0.01
72,PINE001.1-4177,10/7/2002,16:45,Water Temperature (deg C),18,
72,PINE001.1-4177,10/7/2002,16:45,Flow (cfs),120,
72,PINE001.1-4177,10/7/2002,16:45,Specific Conductivity (umho/cm),155,
72,PINE001.1-4177,10/7/2002,16:45,Dissolved Oxygen (mg/l),7.01,
72,PINE001.1-4177,10/7/2002,16:45,pH - Field (None),7.2,
72,PINE001.1-4177,10/7/2002,16:45,Alkalinity - Field (mg/l),24,
72,PINE001.1-4177,10/7/2002,16:45,Acidity - Field (mg/l),10,
73,PINE014.2-4177,10/9/2002,8:15,Water Temperature (deg C),12,
73,PINE014.2-4177,10/9/2002,8:15,Flow (cfs),84.74,
73,PINE014.2-4177,10/9/2002,8:15,Specific Conductivity (umho/cm),172,
73,PINE014.2-4177,10/9/2002,8:15,Dissolved Oxygen (mg/l),6.4,
73,PINE014.2-4177,10/9/2002,8:15,pH - Field (None),7.25,
73,PINE014.2-4177,10/9/2002,8:15,Alkalinity - Field (mg/l),34,
73,PINE014.2-4177,10/9/2002,8:15,Acidity - Field (mg/l),8,
74,PINE040.3-4177,10/8/2002,8:30,Water Temperature (deg C),9.9,
74,PINE040.3-4177,10/8/2002,8:30,Flow (cfs),75,
74,PINE040.3-4177,10/8/2002,8:30,Specific Conductivity (umho/cm),151,
74,PINE040.3-4177,10/8/2002,8:30,Dissolved Oxygen (mg/l),7.44,
74,PINE040.3-4177,10/8/2002,8:30,pH - Field (None),7.35,
74,PINE040.3-4177,10/8/2002,8:30,Alkalinity - Field (mg/l),38,
74,PINE040.3-4177,10/8/2002,8:30,Acidity - Field (mg/l),8,
75,PINE057.5-4177,10/7/2002,14:30,Water Temperature (deg C),16,
75,PINE057.5-4177,10/7/2002,14:30,Flow (cfs),32.879,
75,PINE057.5-4177,10/7/2002,14:30,Specific Conductivity (umho/cm),116,
75,PINE057.5-4177,10/7/2002,14:30,Dissolved Oxygen (mg/l),7.95,
75,PINE057.5-4177,10/7/2002,14:30,pH - Field (None),8.3,
75,PINE057.5-4177,10/7/2002,14:30,Alkalinity - Field (mg/l),28,
75,PINE057.5-4177,10/7/2002,14:30,Acidity - Field (mg/l),0,
229,BABB000.1-4177,10/8/2002,9:30,Water Temperature (deg C),9.1,
229,BABB000.1-4177,10/8/2002,9:30,Flow (cfs),18.184,
229,BABB000.1-4177,10/8/2002,9:30,Specific Conductivity (umho/cm),317,
229,BABB000.1-4177,10/8/2002,9:30,Dissolved Oxygen (mg/l),7.48,
229,BABB000.1-4177,10/8/2002,9:30,pH - Field (None),6.8,
229,BABB000.1-4177,10/8/2002,9:30,Alkalinity - Field (mg/l),18,
229,BABB000.1-4177,10/8/2002,9:30,Acidity - Field (mg/l),16,
230,BABB007.2-4177,10/8/2002,12:45,Water Temperature (deg C),11.3,
230,BABB007.2-4177,10/8/2002,12:45,Flow (cfs),5.317,
230,BABB007.2-4177,10/8/2002,12:45,Specific Conductivity (umho/cm),115,
230,BABB007.2-4177,10/8/2002,12:45,Dissolved Oxygen (mg/l),6.8,
230,BABB007.2-4177,10/8/2002,12:45,pH - Field (None),6.5,
230,BABB007.2-4177,10/8/2002,12:45,Alkalinity - Field (mg/l),12,
230,BABB007.2-4177,10/8/2002,12:45,Acidity - Field (mg/l),22,
92,LPIN000.2-4177,10/9/2002,10:30,Water Temperature (deg C),12.1,
92,LPIN000.2-4177,10/9/2002,10:30,Flow (cfs),18.265,
92,LPIN000.2-4177,10/9/2002,10:30,Specific Conductivity (umho/cm),154,
92,LPIN000.2-4177,10/9/2002,10:30,Dissolved Oxygen (mg/l),7.22,
92,LPIN000.2-4177,10/9/2002,10:30,pH - Field (None),7.1,
92,LPIN000.2-4177,10/9/2002,10:30,Alkalinity - Field (mg/l),22,
92,LPIN000.2-4177,10/9/2002,10:30,Acidity - Field (mg/l),14,
